award_id,recipient,amount,date,agency,sub_agency,naics_code,naics_desc,state,description
HT940216C0001,HUMANA GOVERNMENT BUSINESS INC,51269205263.03,2016-07-29,Department of Defense,Defense Health Agency,,,KY,IGF::OT::IGF
DEAC0494AL85000,LOCKHEED MARTIN CORP,48063763681.32,1993-10-15,Department of Energy,Department of Energy,,,NM,
DENA0003525,"NATIONAL TECHNOLOGY & ENGINEERING SOLUTIONS OF SANDIA, LLC",42571358867.68,2016-12-16,Department of Energy,Department of Energy,,,NM,"IGF::CL,CT::IGF CONTRACT AWARD DE-NA0003525 TO THE NATIONAL TECHNOLOGY&ENGINEERING SOLUTIONS OF SANDIA, LLC (NTESS) FOR THE MANAGEMENT AND OPERATION OF THE DEPARTMENT OF ENERGY, NATIONAL NUCLEAR SECUR"
DEAC0500OR22725,UT-BATTELLE LLC,42096094266.96,1999-10-15,Department of Energy,Department of Energy,,,TN,MANAGEMENT AND OPERATION OF THE OAK RIDGE NATIONAL LABORATORY
DEAC5207NA27344,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",41152283440.62,2007-05-08,Department of Energy,Department of Energy,,,CA,"TAS::89 0240::TAS THIS PERFORMANCE-BASED MANAGEMENT CONTRACT (PBMC) IS FOR THE MANAGEMENT AND OPERATION OF THE LAWRENCE LIVERMORE NATIONAL LABORATORY (LLNL). THE CONTRACTOR SHALL, IN ACCORDANCE WITH T"
DEAC3243AL00036,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",35295925219.18,1978-09-30,Department of Energy,Department of Energy,,,NM,M&O OF LANL BR OF U OF CA
N0001917C0001,LOCKHEED MARTIN CORPORATION,35135514910.2,2017-04-28,Department of Defense,Department of the Navy,,,TX,LRIP LOT 12 ADVANCE ACQUISITION CONTRACT
89233218CNA000001,"TRIAD NATIONAL SECURITY, LLC",35040435873.75,2018-06-08,Department of Energy,Department of Energy,,,NM,IGF::CL::IGF COMPETITION FOR MANAGEMENT AND OPERATION OF LOS ALAMOS NATIONAL LABORATORY
N0002417C2100,ELECTRIC BOAT CORPORATION,34939576028.0,2017-02-14,Department of Defense,Department of the Navy,,,CT,SSN 802 AND 803 LONG LEAD TIME MATERIAL
DENA0001942,"CONSOLIDATED NUCLEAR SECURITY, LLC",34256470772.89,2013-01-08,Department of Energy,Department of Energy,,,TN,"IGF::CL,CT::IGF MANAGEMENT AND OPERATING CONTRACT FOR Y-12 NATIONAL SECURITY COMPLEX, PANTEX PLANT, WITH AN OPTION FOR SAVANNAH RIVER TRITIUM OPERATIONS"
N0001902C3002,LOCKHEED MARTIN CORPORATION,34173959111.96,2001-10-26,Department of Defense,Defense Contract Management Agency,,,TX,200204!008532!1700!AF600 !NAVAL AIR SYSTEMS COMMAND       !N0001902C3002  !A!N! !N!                   !20011026!20120430!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD   
FA862511C6600,THE BOEING COMPANY,31972918249.03,2011-02-24,Department of Defense,Department of the Air Force,,,WA,KC-X MODERNIZATION PROGRAM
N0002417C2117,ELECTRIC BOAT CORPORATION,30979375853.0,2017-09-21,Department of Defense,Department of the Navy,,,CT,COLUMBIA CLASS DESIGN COMPLETION
DEAC0576RL01830,BATTELLE MEMORIAL INSTITUTE,30520604861.61,1978-10-12,Department of Energy,Department of Energy,,,WA,BATTELLE MEMORIAL INSTITUTE/PACIFIC NORTHWEST               LABORATORY OPERATING AND MANAGING CONTRACT
N0001920C0009,LOCKHEED MARTIN CORPORATION,30140182630.06,2019-11-26,Department of Defense,Defense Contract Management Agency,,,TX,THE PURPOSE OF THIS MODIFICATION IS TO AWARD F-35A LRIP 15 USAF  AIRCRAFT* LONG LEAD FUNDING
DEAC0908SR22470,SAVANNAH RIVER NUCLEAR SOLUTIONS LLC,27551935999.46,2008-01-10,Department of Energy,Department of Energy,,,SC,MANAGEMENT AND OPERATING CONTRACT FOR THE SAVANNAH RIVER SITE.
DEAC5206NA25396,LOS ALAMOS NATIONAL SECURITY LLC,27422768630.96,2005-12-21,Department of Energy,Department of Energy,,,NM,"THE CONTRACTOR SHALL, IN ACCORDANCE WITH THE TERMS AND CONDITIONS OF THIS CONTRACT, PROVIDE THE PERSONNEL, EQUIPMENT, MATERIALS, SUPPLIES, AND SERVICES (EXCEPT AS MAY BE FURNISHED BY THE GOVERNMENT) A"
DEAC0705ID14517,"BATTELLE ENERGY ALLIANCE, LLC",26114643335.95,2004-11-09,Department of Energy,Department of Energy,,,ID,MANAGEMENT AND OPERATIONS OF THE INL
N0001923C0003,LOCKHEED MARTIN CORPORATION,24500661983.0,2022-12-23,Department of Defense,Department of the Navy,,,TX,"THE PURPOSE OF THIS CONTRACT IS TO AWARD LONG LEAD FUNDING FOR F-35A, F-35B, AND F-35C AIRCRAFT FOR U.S. SERVICES, NON-DOD PARTNERS, AND FMS CUSTOMERS"
HT940216C0002,"HEALTH NET FEDERAL SERVICES, LLC",23493318778.12,2016-08-01,Department of Defense,Defense Health Agency,,,CA,IGF::OT::IGF  MANAGED CARE SUPPORT SERVICES IN SUPPORT OF THE TRICARE PROGRAM
NAS1510000,THE BOEING COMPANY,22437793940.54,1993-11-15,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,TX,INTERNATIONAL SPACE STATION
DEAC0584OR21400,"LOCKHEED MARTIN SERVICES, LLC",20646113720.09,1984-04-30,Department of Energy,Department of Energy,,,TN,MANAGEMENT AND OPERATION OF Y-12 PLANT AND OTHER PROGRAMS
HT940211C0003,HUMANA GOVERNMENT BUSINESS INC,20451127096.53,2011-03-03,Department of Defense,Defense Health Agency,,,KY,T3 MANAGED CARE SUPPORT CONTRACT FOR SOUTH REGION
N0002412C2115,ELECTRIC BOAT CORPORATION,20183816107.0,2012-04-17,Department of Defense,Department of the Navy,,,CT,SSN 792 LONG LEAD TIME MATERIAL
DEAC0205CH11231,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,19743215928.42,2005-04-19,Department of Energy,Department of Energy,,,CA,"THIS PERFORMANCE-BASED MANAGEMENT CONTRACT (PBMC) IS FOR THE MANAGEMENT AND OPERATION OF THE ERNEST ORLANDO LAWRENCE BERKELEY NATIONAL LABORATORY (LBNL).  THE CONTRACTOR SHALL, IN ACCORDANCE WITH THE "
HT940210C0002,"HEALTH NET FEDERAL SERVICES, LLC",19414789943.3,2010-05-13,Department of Defense,Defense Health Agency,,,CA,PROVIDE MANAGED CARE SUPPORT TO THE DEPARTMENT OF DEFENSE TRICARE PROGRAM. CONTRACTOR SHALL ASSIST MILITARY HEALTH SYSTEM IN OPERATING AN INTEGRATED HEALTHCARE DELIVERY SYSTEM COMBINING RESOURCES OF T
HQ000601C0001,THE BOEING COMPANY,18762686627.49,2000-12-22,Department of Defense,Defense Contract Management Agency,,,AL,200112!000108!9700!ZD60 !BALLISTIC MISSILE DEFENSE ORG. !HQ000601C0001 !A!N!*!N! !20001222!20080930!848025649!848025649!009256819!N!THE BOEING COMPANY !3370 E MIRALOMA AVE !ANAHEIM !CA!92806!37000!089
N0001914C0067,THE BOEING COMPANY,18111838529.78,2014-08-14,Department of Defense,Defense Contract Management Agency,,,WA,USN P-8A FRP II LONG LEAD MATERIAL
DEAC0343SF00048,THE REGENTS OF THE UNIVERSITY OF CALIFORNIA,18009881071.27,1999-10-27,Department of Energy,Department of Energy,,,CA,OPERATION OF LAWRENCE LIVERMORE LABORATORY
DENA0002839,"HONEYWELL FEDERAL MANUFACTURING & TECHNOLOGIES, LLC",17488650862.28,2015-07-09,Department of Energy,Department of Energy,,,MO,"IGF::CL,CT::IGF MANAGEMENT AND OPERATION OF THE NATIONAL SECURITY CAMPUS -- CONTRACT NO. DE-NA0002839"
DEAC2701RV14136,"BECHTEL NATIONAL, INC.",17319586105.74,2000-12-15,Department of Energy,Department of Energy,,,WA,
DEAC0206CH11357,"UCHICAGO ARGONNE, LLC",17318912548.91,2006-07-31,Department of Energy,Department of Energy,,,IL,PERFORMANCE-BASED CONTRACT FOR MANAGEMENT AND OPERATION OF ARGONNE NATIONAL LABORATORY
N0002409C2104,ELECTRIC BOAT CORPORATION,16238775949.0,2008-12-22,Department of Defense,Department of the Navy,,,CT,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.
NNJ06TA25C,LOCKHEED MARTIN CORP,15555973334.93,2006-08-31,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,CO,"TAS::80 0124::TAS DESIGN, DEVELOPMENT, TEST&EVALUATION OF PROJECT ORION"
DEAC0276SF00515,THE LELAND STANFORD JUNIOR UNIVERSITY,14884413468.37,1978-11-20,Department of Energy,Department of Energy,,,CA,OPERATION AND MAINTENANCE                                   LINEAR ACCELLERATOR
89233018CNR000004,"FLUOR MARINE PROPULSION, LLC",14781032587.06,2018-07-12,Department of Energy,Department of Energy,,,PA,MANAGEMENT AND OPERATION OF THE NAVAL NUCLEAR LABORATORY AND NAVAL NUCLEAR PROPULSION PROGRAM SUPPORT
N0002418C2130,"FLUOR MARINE PROPULSION, LLC",14426090803.57,2018-07-12,Department of Defense,Department of the Navy,,,PA,NAVAL NUCLEAR LABORATORY
FA821920C0006,NORTHROP GRUMMAN SYSTEMS CORP,13396478923.19,2020-09-08,Department of Defense,Department of the Air Force,,,UT,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYMENT (P&D)
HT940212C0001,"UNITEDHEALTH MILITARY & VETERANS SERVICES, LLC",13145560374.49,2012-03-20,Department of Defense,Defense Health Agency,,,MN,T3 MANAGED CARE SUPPORT CONTRACT FOR WEST REGION
N0002416C2116,HUNTINGTON INGALLS INC,12721654557.85,2016-05-23,Department of Defense,Department of the Navy,,,VA,CVN 80 ENGINEERING EFFORTS AND STEEL
0005,"FLUOR INTERCONTINENTAL, INC",12568636130.95,2009-07-16,Department of Defense,Department of the Army,,,,LOGCAP IV SERVICES AFGHANISTAN
W58P0522C0001,PFIZER INC,12549999847.5,2021-11-17,Department of Defense,Department of the Army,,,NY,AWARD OF 10M TREATMENT COURSES OF ORAL PROTEASE INHIBITOR PF-07321332
N0001916C0033,LOCKHEED MARTIN CORPORATION,12269145508.23,2015-12-22,Department of Defense,Defense Contract Management Agency,,,TX,LRIP 11 AAC
W58RGZ12C0008,SIKORSKY AIRCRAFT CORPORATION,11602480135.21,2012-06-06,Department of Defense,Department of the Army,,,CT,"MULTI SERVICE, 5 YR, MULTI-YR CONTRACT FOR H-60 HELICOPTERS. FY2012 FY2016 PRODUCTION CONTRACT FOR ARMY/NAVY/FMS UH/HH/MH-60 HELICOPTERS TO INCLUDE PROCUREMENT OF UP TO 916 EACH AIRCRAFT AND RELATED S"
FA863412C2651,THE BOEING COMPANY,11204226412.65,2012-03-08,Department of Defense,Department of the Air Force,,,MO,RSAF F-15 FLEET MODERNIZATION PROGRAM
W15QKN21C0012,PFIZER INC,11110134065.68,2020-12-22,Department of Defense,Department of the Army,,,NY,COVID-19 VACCINE PRODUCTION
FA861404C2004,THE BOEING COMPANY,11086769499.68,2003-10-02,Department of Defense,Defense Contract Management Agency,,,CA,
N0001907C0001,BELL BOEING JOINT PROJECT OFFICE,11040980157.1,2007-04-02,Department of Defense,Defense Contract Management Agency,,,TX,MV-22 AIRCRAFT - FY08 (LOT 12)*
DEAC0500OR22800,"BWXT Y - 12, LLC",10985001041.33,2000-08-31,Department of Energy,Department of Energy,,,TN,MANAGEMENT AND OPERATION OF THE Y-12 FACILITY
DEAC3608GO28308,"ALLIANCE FOR ENERGY INNOVATION, LLC",10790056186.9,2008-07-29,Department of Energy,Department of Energy,,,CO,AWARD OF CONTRACT TO MANAGE AND OPERATE THE NATIONAL RENEWABLE ENERGY LABORATORY
DEAC2708RV14800,WASHINGTON RIVER PROTECTION SOLUTIONS LLC,10572204771.54,2008-05-29,Department of Energy,Department of Energy,,,WA,MANAGEMENT OF THE HANFORD SITE TANK FARMS
N0001915C0003,LOCKHEED MARTIN CORPORATION,10550927664.07,2015-06-04,Department of Defense,Defense Contract Management Agency,,,TX,LRIP 10 AAC
NNM07AB03C,THE BOEING COMPANY,10513304426.0,2007-08-28,National Aeronautics and Space Administration,National Aeronautics and Space Administration,,,AL,"PROVIDE DEVELOPMENTAL HARDWARE AND TEST ARTICLES, AND MANUFACTURE AND ASSEMBLE ARES I UPPER STAGES. THE UPPER STAGE (US) ELEMENT IS AN INTEGRAL PART OF THE ARES I LAUNCH VEHICLE AND PROVIDES THE SECON"
W31P4Q20C0023,LOCKHEED MARTIN CORPORATION,10478694385.9,2020-04-30,Department of Defense,Department of the Army,,,TX,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) PRODUCTION REQUIREMENTS FOR THE UNITE
N0002406C2222,HUNTINGTON INGALLS INCORPORATED,10029620274.96,2006-06-01,Department of Defense,Department of the Navy,,,MS,DETAIL DESIGN AND CONSTRUCTION OF LPD 17 CLASS SHIP (LPD 22)
F4261098C0001,NORTHROP GRUMMAN SYSTEMS CORPORATION,10009419769.13,1998-07-01,Department of Defense,Department of the Air Force,,,UT,200506!000026!5700!FA8214!OO-ALC/PKME/LMKE                !F4261098C0001  !A!N! !Y!             !P01502!20041213!20050701!001563738!004179453!016435559!N!NORTHROP GRUMMAN SPACE & MISSI!888 S 2000 E   
W58RGZ08C0003,SIKORSKY AIRCRAFT CORPORATION,9971085290.49,2007-12-12,Department of Defense,Department of the Army,,,CT,PROCUREMENT OF 54 EACH ARMY UH-60M BLACK HAWK HELICOPTERS; 18 EACH NAVY MH-60S SEA HAWK HELICOPTERS; 25 EACH NAVY NH-60R SEA HAWK HELICOPTERS; 9 EACH UH-60M BLACK HAWK HELICOPTER FOR BAHRAIN DEFENSE F
W31P4Q24C0022,LOCKHEED MARTIN CORPORATION,9852834751.99,2024-06-28,Department of Defense,Department of the Army,,,TX,"EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY PROVIDING INCIDENTAL SERVICES, HARDWARE, FACILITIES, EQUIPMENT, AND TECHNICAL, "
FA881113C0003,"UNITED LAUNCH SERVICES, LLC",9499338750.87,2013-06-26,Department of Defense,Defense Contract Management Agency,,,CO,IGF::CT::IGF EELV FY13 + PHASE I BUY
F0470195C0017,LOCKHEED MISSILES & SPACE COMP,9458382765.59,1995-09-30,Department of Defense,Department of the Air Force,,,CA,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED M
N0002496F4060,"ENERGY, DEPARTMENT OF",9438254579.0,1996-11-04,Department of Defense,Department of the Navy,,,DC,"199712!1700!1276!BZ004!NAVAL SEA SYSTEMS COMMAND       !N0002496F4060  !A!*!P00005             !19961104!20060930!087689394!161906078!161906193!Y!0C2Y9!ENERGY, UNITED STATES DEPT OF !1000 INDEPENDENCE"
N0002403C2101,ELECTRIC BOAT CORPORATION,9397332305.22,2003-08-14,Department of Defense,Department of the Navy,,,CT,
HQ014717C0032,LOCKHEED MARTIN CORPORATION,9080516982.62,2017-03-27,Department of Defense,Missile Defense Agency,,,TX,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23
F0470102C0002,LOCKHEED MARTIN CORP,9032605785.68,2001-11-16,Department of Defense,Defense Contract Management Agency,,,CA,200207!000021!5700!CZ62  !SMC/PKJ LOS ANGELES AFB         !F0470102C0002  !A!N! !N!                   !20011116!20070630!872978978!196596688!834951691!N!LOCKHEED MARTIN CORPORATION   !1111 LOCKHEED MA
N0001999C1226,THE BOEING COMPANY,8997913572.42,1999-02-12,Department of Defense,Defense Contract Management Agency,,,MO,199908!1700!0757!AA4E0!NAVAL AIR SYSTEMS COMMAND       !N0001999C1226  !A!*!*                  !19990212!20000930!161213269!006265946!009256819!N!76301!MCDONNELL DOUGLAS CORPORATION !P.O. BOX 516     
0159,"KBR SERVICES, LLC",8949368388.58,2008-09-24,Department of Defense,Department of the Army,,,,FOLLOW ON TASK ORDER TO 139 IS NOW TASK ORDER 159
FA861108C2897,LOCKHEED MARTIN CORPORATION,8821412144.17,2008-02-21,Department of Defense,Defense Contract Management Agency,,,TX,FOLLOW-ON AGILE SUSTAINMENT TO THE RAPTOR (FASTER)
N0001918C1021,RTX CORPORATION,8688654906.89,2018-03-23,Department of Defense,Department of the Navy,,,CT,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS
DESC0012704,BROOKHAVEN SCIENCE ASSOCIATES LLC,8561512218.42,2014-12-22,Department of Energy,Department of Energy,,,NY,IGF::OT::IGF TAS::89 0222::TAS M&O CONTRACT FOR BNL
N0001918C1037,NORTHROP GRUMMAN SYSTEMS CORPORATION,8478019987.67,2018-02-22,Department of Defense,Department of the Navy,,,FL,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7)
FA880219C0001,THE AEROSPACE CORPORATION,8435320333.07,2018-10-01,Department of Defense,Department of the Air Force,,,CA,FY19 ENGINEERING SERVICES
HT940223C0002,TRIWEST HEALTHCARE ALLIANCE CORP,8304608415.2,2022-12-22,Department of Defense,Defense Health Agency,,,AZ,"TRICARE MANAGED CARE SUPPORT SERVICES CONTRACT, 5TH GENERATION WEST REGION"
HT940223C0001,HUMANA GOVERNMENT BUSINESS INC,8302380861.43,2022-12-22,Department of Defense,Defense Health Agency,,,KY,"TRICARE MANAGED CARE SUPPORT SERVICES CONTRACT, 5TH GENERATION EAST REGION"
DEAC0207CH11359,"FERMI RESEARCH ALLIANCE, LLC",8292579520.86,2006-11-01,Department of Energy,Department of Energy,,,IL,OPERATION OF FERMI NATIONAL ACCELERATOR LABORATORY
W911QY20C0100,"MODERNATX, INC.",8204906278.12,2020-08-11,Department of Defense,Department of the Army,,,MA,100M SARS-COV-2 MRNA-1273 VACCINE DOSES
N0001921C0020,LOCKHEED MARTIN CORPORATION,7953264130.5,2020-12-28,Department of Defense,Defense Contract Management Agency,,,TX,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT
N0001902C3003,RTX CORPORATION,7911304631.39,2001-10-26,Department of Defense,Defense Contract Management Agency,,,CT,200204!008533!1700!AF600 !NAVAL AIR SYSTEMS COMMAND !N0001902C3003 !A!N! !N! !20011026!20120430!001447952!001447952!001344142!N!UNITED TECHNOLOGIES CORP !400 MAIN STREET !EAST HARTFORD !CT!06108!22700
0139,"KBR SERVICES, LLC",7865825758.15,2006-08-22,Department of Defense,Department of the Army,,,,"200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!20120131!133469119!133469119!964409007!N!KELLOGG BROWN&ROOT SERVICES,!4100 CLINTON DRY "
N0001904C3146,THE BOEING COMPANY,7633729888.76,2004-06-29,Department of Defense,Department of the Navy,,,WA,
DENA0003624,MISSION SUPPORT & TEST SERVICES LLC,7621715102.82,2017-05-12,Department of Energy,Department of Energy,,,NV,"IGF::CL,CT::IGF CONTRACT AWARD DE-NA0003624 TO THE MISSION SUPPORT AND TEST SERVICES LLC (MSTS) FOR THE MANAGEMENT AND OPERATION OF THE DEPARTMENT OF ENERGY NATIONAL NUCLEAR SECURITY ADMINISTRATION'S "
FA861106C2899,LOCKHEED MARTIN CORPORATION,7581647887.33,2005-12-23,Department of Defense,Department of the Air Force,,,TX,200610!000027!5700!FA8611!ASC/YFK                         !FA861106C2899  !A!N! !N!             !      !20051223!20060512!008016958!008016958!834951691!N!LOCKHEED MARTIN CORPORATION   !LOCKHEED BLVD  
N0001920C0011,RTX CORPORATION,7498605067.74,2020-03-23,Department of Defense,Department of the Navy,,,CT,LOT 15 FMS-1 F135 CTOL PROP SYSTEM
W58RGZ16C0023,THE BOEING COMPANY,7465915207.31,2016-03-21,Department of Defense,Department of the Army,,,AZ,"W58RGZ-16-C-0023 IS FOR THE AWARD OF ADVANCE PROCUREMENT IN THE AMOUNT OF $184,930,000.00 TO SUPPORT LOT 7 FULL RATE PRODUCTION LONG LEAD ITEMS."
FA881018C0005,LOCKHEED MARTIN CORP,7442421586.72,2018-08-14,Department of Defense,Department of the Air Force,,,CA,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1
N0001924C0039,LOCKHEED MARTIN CORPORATION,7379699098.0,2024-06-27,Department of Defense,Department of the Navy,,,VA,CY24 AVSC SUPPLY SUPPORT
0004,"AMENTUM SERVICES, INC.",7376022275.01,2009-07-13,Department of Defense,Department of the Army,,,,LOGCAP IV SERVICES IN AFGHANISTAN
N0001912C2001,BELL BOEING JOINT PROJECT OFFICE,7337457221.95,2011-12-29,Department of Defense,Defense Contract Management Agency,,,TX,PROCUREMENT OF V-22 LOT 17 LONG LEAD-TIME ITEMS
FA862506C6456,LOCKHEED MARTIN CORP,7261932653.67,2006-02-28,Department of Defense,Defense Contract Management Agency,,,GA,
N0001909C0019,THE BOEING COMPANY,7246510577.74,2008-12-05,Department of Defense,Department of the Navy,,,MO,F/A-18 AIRCRAFT
FA868224CB001,LOCKHEED MARTIN CORPORATION,7202488023.22,2024-09-27,Department of Defense,Department of the Air Force,,,FL,LONG RANGE ANTI-SHIP MISSILE/JOINT AIR-TO-SURFACE STANDOFF MISSILE LARGE LOT PROCUREMENT
N0001911C0083,LOCKHEED MARTIN CORPORATION,7186135705.16,2011-08-08,Department of Defense,Defense Contract Management Agency,,,TX,F-35 LIGHTNING II JOINT STRIKE FIGHTER (JSF) LOW RATE INITIAL PRODUCTION (LRIP) LOT 6 ADVANCE ACQUISITION CONTRACT
DEAC0608RL14788,CH2M HILL PLATEAU REMEDIATION COMPANY,7065250859.58,2008-06-19,Department of Energy,Department of Energy,,,WA,PLATEAU REMEDIATION CONTRACT - CONTINUE ENVIRONMENTAL REMEDIATION OF SELECT PORTIONS OF THE HANFORD SITE.
DAAE0703CS023,BAE SYSTEMS TACTICAL VEHICLE SYSTEMS LP,7052768924.82,2003-04-17,Department of Defense,Defense Contract Management Agency,,,TX,200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!20081115!557414000!557414000!007932783!N!STEWART & STEVENSON TACTICAL V!5000 INTERSTATE
N0001914C0002,LOCKHEED MARTIN CORPORATION,6998362070.51,2014-03-26,Department of Defense,Defense Contract Management Agency,,,TX,LRIP 9 AIRCRAFT AAC
N0002423C2307,HUNTINGTON INGALLS INCORPORATED,6988080141.83,2023-08-01,Department of Defense,Department of the Navy,,,MS,CONSTRUCTION OF DDG 51 SHIPS FY23-27
FA863418C2701,THE BOEING COMPANY,6979382395.76,2017-12-22,Department of Defense,Department of the Air Force,,,MO,"F-15, FMS, F-15QA AIR VEHICLE DEVELOPMENT"
N0002418C2307,HUNTINGTON INGALLS INCORPORATED,6890109591.74,2018-09-27,Department of Defense,Department of the Navy,,,MS,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION
AIDOAATO1500007,"CHEMONICS INTERNATIONAL, INC.",6723916684.79,2015-04-17,Agency for International Development,Agency for International Development,,,DC,IGF::CL::IGF - GHSC IDIQ - HIV/AIDS TO
N0002408C2110,HUNTINGTON INGALLS INC,6645710960.11,2008-09-10,Department of Defense,Department of the Navy,,,VA,TAS::17 1611::TAS CVN 78 SHIP CONSTRUCTION
DEAC0909SR22505,SAVANNAH RIVER REMEDIATION LLC,6626030703.19,2008-12-08,Department of Energy,Department of Energy,,,SC,NEW CONTRACT AWARD FOR MANAGEMENT OF THE LIQUID WASTE SYSTEM AT SRS
N0001917C0015,BELL BOEING JOINT PROJECT OFFICE,6597245392.74,2016-12-28,Department of Defense,Defense Contract Management Agency,,,TX,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS
DEAC5400AL66620,"BWXT PANTEX, LLC",6566620553.15,2000-07-28,Department of Energy,Department of Energy,,,TX,MANAGEMENT AND OPERATION OF THE PANTEX PLANT
HQ014712C0004,THE BOEING COMPANY,6466627868.26,2011-12-30,Department of Defense,Missile Defense Agency,,,AL,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GMD DSC WORK INCLUDES, BUT IS NOT LIMITED TO: 1) FUTURE DEVELOPMENT; 2) FIELDING; "
W56HZV15C0095,OSHKOSH DEFENSE LLC,6104208870.9,2015-08-25,Department of Defense,Department of the Army,,,WI,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND INSTALLED), TEST HARDWARE AND SUPPORT, VEHICLE REFURBISHMENT, SYSTEMS ENGINEERI"
N0001906C0081,SIKORSKY AIRCRAFT CORPORATION,6103285531.96,2006-01-03,Department of Defense,Department of the Navy,,,CT,
0059,"KBR SERVICES, LLC",6062897262.53,2003-08-12,Department of Defense,Department of the Army,,,,
N0001913C0008,LOCKHEED MARTIN CORPORATION,6035358369.47,2013-02-28,Department of Defense,Department of the Navy,,,TX,F-35 LRIP 8 AAC
FA862914C2403,SIKORSKY AIRCRAFT CORPORATION,6004579823.04,2014-06-26,Department of Defense,Department of the Air Force,,,CT,ACAT 1D - CRH
FA862514C6450,LOCKHEED MARTIN CORP,5934097111.63,2013-12-09,Department of Defense,Department of the Air Force,,,GA,FY13 ADVANCE PROCUREMENT FUNDS FOR FY14 C-130J AIRCRAFT
N0002416C2229,NATIONAL STEEL AND SHIPBUILDING COMPANY,5876514409.23,2016-06-30,Department of Defense,Department of the Navy,,,CA,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205
HQ014707C0196,LOCKHEED MARTIN CORP,5817859453.93,2006-12-22,Department of Defense,Missile Defense Agency,,,CA,THAAD COMPONENTS FOR FIRE UNITS TAS::97 0400::TAS
N0001909C0010,LOCKHEED MARTIN CORPORATION,5812245402.2,2009-03-11,Department of Defense,Defense Contract Management Agency,,,TX,AWARD AAC LRIP IV CONTRACT
N0001909C0022,THE BOEING COMPANY,5699021641.13,2009-04-13,Department of Defense,Defense Contract Management Agency,,,WA,P-8A LRIP I LONG LEAD MATERIAL
N0002405C5346,RAYTHEON COMPANY,5668542889.12,2005-05-25,Department of Defense,Department of the Navy,,,MA,
DEAC5206NA25946,"NATIONAL SECURITY TECHNOLOGIES, LLC",5634272220.0,2006-03-28,Department of Energy,Department of Energy,,,NV,MANAGEMENT AND OPERATIONS OF NEVADA TEST SITE AND SATELLITE FACILITIES
W31P4Q15C0022,RAYTHEON COMPANY,5607558999.34,2014-12-19,Department of Defense,Department of the Army,,,MA,TEN FIRE UNITS FOR QATAR
N0001912C0004,LOCKHEED MARTIN CORPORATION,5597451611.0,2012-06-15,Department of Defense,Department of the Navy,,,TX,LONG LEAD-TIME ITEMS
W58RGZ17C0009,SIKORSKY AIRCRAFT CORPORATION,5584742286.87,2017-06-22,Department of Defense,Department of the Army,,,CT,W58RGZ-17-C-0009 MY IX BLACK HAWK PRODUCTION CONTRACT AWARD.
